编号,用户名,手机号,密码,角色,用户类型,商户名
AddUser_001,张三,13333333336,123456,系统管理员,管理员,
AddUser_002,李四,13333333337,123456,陕西省财政厅角色,商户,陕西省财政厅
AddUser_003,,13333333338,123456,系统管理员,管理员,
AddUser_004,王五,,123456,系统管理员,管理员,
AddUser_005,王五,13333333338,,系统管理员,管理员,
AddUser_006,麻子六,13333333339,123456,,管理员,
AddUser_007,麻子六,13333333339,123456,系统管理员,,
AddUser_008,张三,13333333336,123456,系统管理员,管理员,
AddUser_009,张三,133333333,123456,系统管理员,管理员,
AddUser_010,张三,1.33333E+12,123456,系统管理员,管理员,
AddUser_011,张三,13333333336,12345,系统管理员,管理员,
AddUser_012,傻傻的课教案的境况拉家,13333333336,123456,系统管理员,管理员,
AddUser_013,李四,13333333337,123456,陕西省财政厅角色,商户,
