编号,部门,员工工号,姓名,英文名,入职时间,性别,手机号,身份证号,卡号
AddEmployees_001,测试商户,,张三,,,男,18829789592,,77889900
AddEmployees_002,,,张三,,,男,18829789590,,77889900
AddEmployees_003,测试商户,120012,李四,lisi,2020-12-21,女,18829789591,610502199501075217,77889901
AddEmployees_004,测试商户,,,,,男,18829789590,,77889900
AddEmployees_005,测试商户,,张三,,,,18829789590,,77889900
AddEmployees_006,测试商户,,张三,,,男,,,77889900
AddEmployees_007,测试商户,,张三,,,男,18829789590,,
AddEmployees_008,测试商户,1,张三,,,男,18829789590,,77889900
AddEmployees_009,测试商户,,张,,,男,18829789590,,77889900
AddEmployees_010,测试商户,,张三,张,,男,18829789590,,77889900
AddEmployees_011,测试商户,,张三,,,男,1882978959,,77889900
AddEmployees_012,测试商户,,张三,,,男,18829789590,1123,77889900
AddEmployees_013,测试商户,,张三,,,男,18829789590,,hah
AddEmployees_014,测试商户,,张三,,,男,18829789590,,123
AddEmployees_015,测试商户,,张三,,,男,18829789590,,77889900
